variant_name,model_name,split_name,true_distance_m,mean_true_distance_m,mean_predicted_distance_m,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
baseline_full_geometry,rf,real_external,70.0,70.0,111.9640008234778,12,41.96400082347781,44.048925098577705,0.5994857260496831,0.6292703585511101,42.69143130244685,0.0,41.96400082347781,44.048925098577705,51.250520257520265,52.17517511103257,52.90171181158024,0.0,0.0,0.0,1.0,0.0
baseline_full_geometry,rf,real_external,75.0,75.0,116.9970623249552,24,41.99706232495518,41.88217421710843,0.5599608309994024,0.5584289895614457,42.414909993369434,0.0,41.99706232495518,41.88217421710843,47.56543096747932,48.03817089421925,57.99638556956819,0.0,0.0,0.0,1.0,0.0
baseline_full_geometry,rf,real_external,9.0,9.0,23.725175426425434,26,14.72517542642543,14.626011904761908,1.6361306029361589,1.6251124338624343,14.741346994872853,0.0,14.72517542642543,14.626011904761908,15.805553751803757,16.07952200577201,16.176406926406933,0.0,0.0,1.0,1.0,0.0
baseline_full_geometry,xgb,real_external,10.0,10.0,20.096990484940378,19,10.096990484940378,10.098451614379883,1.0096990484940378,1.0098451614379882,10.106657261917006,0.0,10.096990484940378,10.098451614379883,10.710640716552735,10.807157707214355,10.926584243774414,0.0,0.47368421052631576,1.0,1.0,0.0
baseline_full_geometry,xgb,real_external,15.0,15.0,28.676109053871848,44,13.676109053871848,10.952177047729492,0.9117406035914566,0.7301451365152994,14.548303799819664,0.0,13.676109053871848,10.952177047729492,21.056444168090824,23.311975479125977,25.38043212890625,0.0,0.20454545454545456,0.8409090909090909,1.0,0.0
baseline_full_geometry,xgb,real_external,20.0,20.0,38.06879308949346,46,18.06879308949346,19.0550479888916,0.903439654474673,0.9527523994445801,19.86432230327796,0.0,18.06879308949346,19.0550479888916,29.794456481933594,31.91245460510254,34.93070602416992,0.0,0.32608695652173914,0.5652173913043478,1.0,0.0
baseline_full_geometry,xgb,real_external,25.0,25.0,44.50079917907715,42,19.50079917907715,16.474393844604492,0.7800319671630858,0.6589757537841797,21.326856258341625,0.0,19.50079917907715,16.474393844604492,31.733748245239255,34.03413162231444,36.15212631225586,0.0,0.11904761904761904,0.6190476190476191,1.0,0.0
baseline_full_geometry,xgb,real_external,30.0,30.0,55.83534404209682,35,25.835344042096818,26.36209487915039,0.8611781347365607,0.8787364959716797,28.559592619375884,0.0,25.835344042096818,26.36209487915039,38.95169219970703,44.33657379150387,60.17961883544922,0.0,0.0,0.4,1.0,0.0
baseline_full_geometry,xgb,real_external,35.0,35.0,64.2732862918935,47,29.27328629189349,18.780250549316406,0.836379608339814,0.5365785871233258,35.97943614102915,0.0,29.27328629189349,18.780250549316406,56.824436950683584,67.14756393432616,71.16850280761719,0.02127659574468085,0.19148936170212766,0.5106382978723404,1.0,0.0
baseline_full_geometry,xgb,real_external,4.0,4.0,19.700552940368652,18,15.700552940368652,15.776518821716309,3.925138235092163,3.944129705429077,15.705733276039682,0.0,15.700552940368652,15.776518821716309,16.074009132385253,16.176567935943602,16.3487491607666,0.0,0.0,1.0,1.0,0.0
baseline_full_geometry,xgb,real_external,40.0,40.0,72.50139277690165,37,32.50139277690166,32.491554260253906,0.8125348194225416,0.8122888565063476,37.86258831810887,0.0,32.50139277690166,32.491554260253906,60.935107421874996,65.55476684570311,67.28526306152344,0.0,0.13513513513513514,0.35135135135135137,1.0,0.0
baseline_full_geometry,xgb,real_external,45.0,45.0,87.48742509499574,39,42.48742509499574,50.69384002685547,0.9441650021110163,1.126529778374566,47.45747026786892,0.0,42.48742509499574,50.69384002685547,65.8764633178711,66.61897354125976,67.99080657958984,0.0,0.07692307692307693,0.15384615384615385,1.0,0.0
baseline_full_geometry,xgb,real_external,5.0,5.0,24.526453336079914,6,19.526453336079914,19.49508571624756,3.905290667215983,3.8990171432495115,19.531141927044093,0.0,19.526453336079914,19.49508571624756,20.004343032836914,20.071812629699707,20.1392822265625,0.0,0.0,0.8333333333333334,1.0,0.0
baseline_full_geometry,xgb,real_external,50.0,50.0,85.48211215791248,42,35.48211215791248,30.554214477539062,0.7096422431582496,0.6110842895507813,40.21075651705453,0.0,35.48211215791248,30.554214477539062,61.23005981445312,62.530783843994136,64.35612487792969,0.0,0.023809523809523808,0.35714285714285715,1.0,0.0
baseline_full_geometry,xgb,real_external,55.0,55.0,71.79389572143555,20,16.793895721435547,17.69137954711914,0.3053435585715554,0.32166144631125715,17.838489749438306,0.0,16.793895721435547,17.69137954711914,21.468037414550782,22.55532112121583,34.54759979248047,0.0,0.15,0.8,1.0,0.0
baseline_full_geometry,xgb,real_external,60.0,60.0,68.81714454064003,13,8.8172853910006,8.161155700683594,0.1469547565166767,0.1360192616780599,10.71877695330361,0.0,8.817144540640024,8.161155700683594,11.178872680664062,17.565878295898415,27.036056518554688,0.23076923076923078,0.6923076923076923,0.9230769230769231,0.9230769230769231,0.07692307692307693
baseline_full_geometry,xgb,real_external,65.0,65.0,89.60353128533615,19,24.603531285336143,27.15100860595703,0.3785158659282483,0.41770782470703127,27.77742908189823,0.0,24.603531285336143,27.15100860595703,39.18352355957031,40.157109832763666,41.063941955566406,0.10526315789473684,0.2631578947368421,0.3157894736842105,1.0,0.0
