model_name,split_name,grouping,weather,time_of_day,distance_range,count,mean_true_distance_m,std_true_distance_m,mean_prediction_m,mae,mean_relative_error
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,time_of_day,,10AM,,48,77.5,38.37859646556485,70.73922587191727,27.322912318841613,0.48311359300306317
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,time_of_day,,8PM,,48,77.5,38.37859646556485,84.11237665765329,26.19726383601161,0.49697722042403686
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,distance_range,,,far,24,130.0,14.719601443879744,92.50112041642699,37.498879583573014,0.27946828807263363
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,distance_range,,,mid,32,85.0,11.180339887498949,79.1992793385393,15.814850165671618,0.1938526400794452
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,distance_range,,,near,40,40.0,14.142135623730951,66.96182731479705,29.073003503142765,0.8533458912053838
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,weather__distance_range,clear_sky,,far,12,130.0,14.719601443879744,90.93848312513573,39.061516874864274,0.29150183841111893
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,weather__distance_range,clear_sky,,mid,16,85.0,11.180339887498949,74.58314733931721,16.004999698445726,0.19849427780559284
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,weather__distance_range,clear_sky,,near,20,40.0,14.142135623730951,64.7631167012114,26.46463267401763,0.7041099784712347
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,weather__distance_range,light_rain,,far,12,130.0,14.719601443879744,94.06375770771825,35.936242292281754,0.26743473773414833
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,weather__distance_range,light_rain,,mid,16,85.0,11.180339887498949,83.81541133776142,15.624700632897515,0.18921100235329752
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,weather__distance_range,light_rain,,near,20,40.0,14.142135623730951,69.1605379283827,31.6813743322679,1.0025818039395327
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,time_of_day__distance_range,,10AM,far,12,130.0,14.719601443879744,88.90944164540709,41.09055835459289,0.307632806635523
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,time_of_day__distance_range,,10AM,mid,16,85.0,11.180339887498949,68.32824639069713,19.028696630468815,0.2326459284991959
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,time_of_day__distance_range,,10AM,near,20,40.0,14.142135623730951,61.76587999279949,25.69769724808908,0.788776196426681
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,time_of_day__distance_range,,8PM,far,12,130.0,14.719601443879744,96.09279918744687,33.907200812553135,0.25130376950974426
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,time_of_day__distance_range,,8PM,mid,16,85.0,11.180339887498949,90.07031228638147,12.601003700874424,0.15505935165969448
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,time_of_day__distance_range,,8PM,near,20,40.0,14.142135623730951,72.15777463679463,32.448309758196444,0.9179155859840865
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,weather,clear_sky,,,48,77.5,38.37859646556485,74.39272854829433,28.73585404836074,0.5673884541462991
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,weather,light_rain,,,48,77.5,38.37859646556485,80.37080495945087,26.78898016772762,0.5214488847166403
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,time_of_day,,10AM,,48,77.5,38.37859646556485,71.17993823090274,28.893766964210627,0.5429401311012204
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,time_of_day,,8PM,,48,77.5,38.37859646556485,83.58359527684244,26.631067251877738,0.5458972077617189
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,distance_range,,,far,24,130.0,14.719601443879744,91.39786896880139,38.60213103119861,0.2881497246873043
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,distance_range,,,mid,32,85.0,11.180339887498949,78.73211580405773,16.52629901474613,0.19505913708122008
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,distance_range,,,near,40,40.0,14.142135623730951,67.89182618476721,30.247483228789967,0.9776676621581686
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,weather__distance_range,clear_sky,,far,12,130.0,14.719601443879744,88.70615518787127,41.29384481212874,0.310153394418772
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,weather__distance_range,clear_sky,,mid,16,85.0,11.180339887498949,72.48009059114945,15.651526191303807,0.18337367854552608
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,weather__distance_range,clear_sky,,near,20,40.0,14.142135623730951,67.3347829302641,31.668521875745494,1.028941310463434
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,weather__distance_range,light_rain,,far,12,130.0,14.719601443879744,94.08958274973152,35.91041725026849,0.2661460549558366
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,weather__distance_range,light_rain,,mid,16,85.0,11.180339887498949,84.98414101696602,17.40107183818845,0.2067445956169141
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,weather__distance_range,light_rain,,near,20,40.0,14.142135623730951,68.4488694392703,28.826444581834455,0.9263940138529032
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,time_of_day__distance_range,,10AM,far,12,130.0,14.719601443879744,85.64482603497017,44.35517396502983,0.33340121858926386
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,time_of_day__distance_range,,10AM,mid,16,85.0,11.180339887498949,70.06521362390707,18.284796266229066,0.2153314960108264
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,time_of_day__distance_range,,10AM,near,20,40.0,14.142135623730951,63.39278523405883,28.10409932210435,0.9307503866807098
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,time_of_day__distance_range,,8PM,far,12,130.0,14.719601443879744,97.15091190263261,32.84908809736738,0.24289823078534475
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,time_of_day__distance_range,,8PM,mid,16,85.0,11.180339887498949,87.3990179842084,14.767801763263186,0.17478677815161375
