dataset,dataset_group,distance_m,bbox_width_norm,bbox_area_ratio,bbox_height_norm
Original,Original,20.0,0.04741684,0.00098412,0.02075472
Original,Original,20.0,0.03571429,0.00134771,0.03773585
Original,Original,20.0,0.03024781,0.00064681,0.02138365
Original,Original,20.0,0.03790087,0.00061976,0.0163522
Original,Original,20.0,0.03644315,0.00178778,0.0490566
Original,Original,20.0,0.03534985,0.00186754,0.05283019
Original,Original,20.0,0.03717201,0.00067798,0.01823899
Original,Original,20.0,0.04591837,0.0011263,0.0245283
Original,Original,20.0,0.03498542,0.00165026,0.04716981
Original,Original,20.0,0.03206997,0.0012707,0.03962264
Original,Original,20.0,0.02587464,0.00133442,0.05157233
Original,Original,20.0,0.03425656,0.00191751,0.05597484
Original,Original,20.0,0.03425656,0.00191751,0.05597484
Original,Original,20.0,0.03972303,0.00127413,0.03207547
Original,Original,20.0,0.03571429,0.00150494,0.04213836
Original,Original,20.0,0.03279883,0.00214533,0.06540881
Original,Original,20.0,0.03389213,0.00115105,0.03396226
Original,Original,20.0,0.04008746,0.00236995,0.0591195
Original,Original,20.0,0.03534985,0.00228996,0.06477987
Original,Original,20.0,0.03826531,0.00194936,0.0509434
Original,Original,20.0,0.03753644,0.00226635,0.06037736
Original,Original,20.0,0.03862974,0.00204082,0.05283019
Original,Original,20.0,0.04081633,0.00064177,0.01572327
Original,Original,20.0,0.02842566,0.00098328,0.03459119
Original,Original,20.0,0.0393586,0.00148523,0.03773585
Original,Original,20.0,0.03316327,0.00129316,0.03899371
Original,Original,20.0,0.04482507,0.00222716,0.04968553
Original,Original,20.0,0.03717201,0.00201056,0.05408805
Original,Original,20.0,0.03389213,0.00172658,0.0509434
Original,Original,20.0,0.03644315,0.00165026,0.04528302
Original,Original,20.0,0.03316327,0.00075087,0.02264151
Original,Original,20.0,0.03717201,0.00224435,0.06037736
Original,Original,20.0,0.03279883,0.00119644,0.03647799
Original,Original,20.0,0.02733236,0.00132364,0.04842767
Original,Original,20.0,0.02988338,0.0010337,0.03459119
Original,Original,20.0,0.03498542,0.00184829,0.05283019
Original,Original,20.0,0.0451895,0.00184737,0.0408805
Original,Original,20.0,0.03972303,0.00142403,0.03584906
Original,Original,20.0,0.03899417,0.00144695,0.03710692
Original,Original,20.0,0.02951895,0.0009097,0.03081761
Original,Original,20.0,0.0324344,0.00120354,0.03710692
Original,Original,20.0,0.03389213,0.00170526,0.05031447
Original,Original,20.0,0.03717201,0.00156637,0.04213836
Original,Original,20.0,0.03498542,0.00151824,0.04339623
Original,Original,20.0,0.03097668,0.00148065,0.04779874
Original,Original,20.0,0.03316327,0.0021066,0.06352201
Original,Original,20.0,0.03134111,0.00159662,0.0509434
Original,Original,20.0,0.03462099,0.00158952,0.04591195
Original,Original,20.0,0.03425656,0.00221914,0.06477987
Original,Original,20.0,0.03680758,0.00162046,0.04402516
Original,Original,20.0,0.03425656,0.00226223,0.06603774
Original,Original,20.0,0.04446064,0.00075499,0.01698113
Original,Original,20.0,0.02988338,0.00095852,0.03207547
Original,Original,20.0,0.03826531,0.00252695,0.06603774
Original,Original,20.0,0.03206997,0.00074628,0.02327044
Original,Original,20.0,0.03862974,0.00228377,0.0591195
Original,Original,20.0,0.03862974,0.00201652,0.05220126
Original,Original,20.0,0.03899417,0.00181482,0.04654088
Original,Original,20.0,0.03862974,0.00194363,0.05031447
Original,Original,20.0,0.03680758,0.00263903,0.07169811
Original,Original,20.0,0.03316327,0.00200231,0.06037736
Original,Original,20.0,0.02951895,0.00135527,0.04591195
Original,Original,20.0,0.0335277,0.00137063,0.0408805
Original,Original,20.0,0.03862974,0.001069,0.02767296
Original,Original,20.0,0.03899417,0.00129981,0.03333333
Original,Original,20.0,0.0404519,0.00124663,0.03081761
Original,Original,20.0,0.03717201,0.00205732,0.05534591
Original,Original,20.0,0.0393586,0.00084163,0.02138365
Original,Original,20.0,0.03790087,0.00235987,0.06226415
Original,Original,20.0,0.04555394,0.00191957,0.04213836
Original,Original,20.0,0.03644315,0.00077929,0.02138365
Original,Original,20.0,0.03170554,0.00113661,0.03584906
Original,Original,20.0,0.03425656,0.00142197,0.04150943
Original,Original,20.0,0.03644315,0.00080221,0.02201258
Original,Original,20.0,0.03279883,0.00084576,0.02578616
Original,Original,20.0,0.03972303,0.00212356,0.05345912
Original,Original,20.0,0.0335277,0.00196105,0.05849057
